name,industry
"STROJTOS LIPNIK, A.S.",NOT RELEVANT
Obec Blizejov,FINANCIALS
"SV Masarykova 458,Liberec",REAL ESTATE
IVECO CZECH REPUBLIC A S,CONSUMER DISCRETIONARY
BVZ COMMERCE S R O,CONSUMER DISCRETIONARY
PREMO S R O,INFORMATION TECHNOLOGY
LIKOV GROUP S.R.O.,INDUSTRIALS
ALES CECHEL,NOT RELEVANT
"BD Vlachova 1507, Praha 13",REAL ESTATE
HOBRA - SKOLNIK S.R.O.,MATERIALS
"Pozemstav Brno, akciová spolecnost",INDUSTRIALS
BD Rumunska 1487,REAL ESTATE
